course,section,class_number,instructor,days,time,modality,room,status,credits,result_category,time_filter_status,warnings
ENGL 22000,22-LEC Regular,9165,Peter Kurtz,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,25-LEC Regular,9166,TBA,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,26-LEC Regular,8050,Stefanie Wess,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,27-LEC Regular,9167,Ryan Rosenberg,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,28-LEC Regular,8049,Sara Rempe,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,29-LEC Regular,8048,Anna Aschauer,MoWe,11:30AM - 12:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,30-LEC Regular,8047,Matthew Knip,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,31-LEC Regular,8046,Susan Barile,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,33-LEC Regular,8044,John Gaffney,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,SCH1-LEC Regular,8043,Susan Barile,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,SCH3-LEC Regular,52403,Peter Kurtz,TuTh,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 22000,X-A1-LEC Regular,8041,Matthew Knip,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25038,01-LEC Regular,4396,Erin Williams,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25040,01-LEC Regular,6182,Kelly Nims,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25092,01-LEC Regular,8040,Meagan Washington,MoWe,10:00AM - 11:15AM,In Person,TBA,Open,3.0,matched,match,
ENGL 25113,01-LEC Regular,52382,Robert Eidelberg,TuTh,5:30PM - 6:45PM,In Person,West Bldg W407,Open,3.0,matched,match,
ENGL 25114,01-LEC Regular,52383,Paul Alexander,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25200,01-LEC Regular,7260,Paul Alexander,TuTh,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25200,02-LEC Regular,7259,Jason Ciaccio,MoWe,2:30PM - 3:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25200,05-LEC Regular,7257,Raina Bhagat,MoWe,1:00PM - 2:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25200,06-LEC Regular,7256,Raina Bhagat,MoWe,4:00PM - 5:15PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25200,08-LEC Regular,7254,TBA,TuTh,5:30PM - 6:45PM,In Person,TBA,Open,3.0,matched,match,
ENGL 25852,01-LEC Regular,9537,Rebecca Qidwai,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
ENGL 25852,02-LEC Regular,9538,Rebecca Qidwai,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
ENGL 28000,01-LEC Regular,6179,Dozandri Mendoza,MoWe,10:00AM - 11:15AM,In Person,TBA,Open,3.0,matched,match,
